Names,Type(s),Evolved From,Notes,Ammount of Cards,Highest HP,Highest Attack Power
Bulbasaur,Grass / Poison,N/A,"It is one of Kanto's starter Pokémon. It has a bulb on its back, which stores nutrients. Since the bulb can photosynthesize, Bulbasaur can go days without eating. As with the rest of its evolutionary line, its bulb has vines the Pokémon uses as tentacles.
",26,70,0
Ivysaur,Grass / Poison,Bulbasaur (#0001),"It is a playable character in Super Smash Bros. Brawl and Super Smash Bros. Ultimate as a part of the ""Pokémon Trainer"" fighter. Its bulb has grown into a bud, which it uses to convert sunlight into power. The bud is heavy, to the point of rendering Ivysaur unable to move properly if it has stored enough nutrients, so its hind legs have grown stronger to counter the weight.
",19,100,0
Venusaur,Grass / Poison,Ivysaur (#0002),"It is the mascot of Pokémon Green and LeafGreen.[15] The bud on its back has bloomed into a flower. It has a soothing aroma, and converts sunlight into energy. For this reason, Venusaur is more powerful during the summer. It gained a Mega Evolution in generation VI, and a Gigantamax form in generation VIII.
",46,340,0
Charmander,Fire,N/A,"It is one of Kanto's starter Pokémon. From the moment it hatches, there is a flame at the tip of its tail. Still unfamiliar with fire, a Charmander might accidentally burn itself. If its flame goes out, it dies.
",44,70,0
Charmeleon,Fire,Charmander (#0004),"A feisty Pokémon, it seeks out potential opponents and torments them in battle. It attacks by spewing fire from its mouth, swinging its tail around, or clawing away. Its fire turns bluish-white when it is excited.
",33,100,0
Charizard,Fire / Flying,Charmeleon (#0005),"It is a playable character as a part of the ""Pokémon Trainer"" fighter in Super Smash Bros. Brawl and Super Smash Bros. Ultimate, a standalone fighter in Super Smash Bros. for Nintendo 3DS and Wii U, and the mascot of Pokémon Red and FireRed. Its fire is hot enough to melt boulders and glaciers, and it is known to start forest fires by accident, though it will not use it against weaker foes. The flame on its tail can burn underwater, and turns bluish-white if Charizard is angry. It gained two Mega Evolutions in generation VI, one Fire/Flying-type and one Fire/Dragon-type, and a Gigantamax form in generation VIII.
",101,330,0
Squirtle,Water,N/A,"It is a playable character in Super Smash Bros. Brawl and Super Smash Bros. Ultimate as a part of the ""Pokémon Trainer"" fighter, and one of Kanto's starter Pokémon.[16] After it hatches, its back gradually swells and hardens into a shell. It withdraws into its shell for protection or to sleep, and its grooved, rounded shape reduce its water resistance, allowing it to swim faster. To attack, it sprays foamy water from its mouth.
",28,70,0
Wartortle,Water,Squirtle (#0007),"Because it is bigger and heavier than Squirtle, it has trouble walking, and has to use its furry ears and tail as rudders and balancing rods to swim. It withdraws into its shell to attack, defend itself, and sleep, though it cannot fully withdraw its tail. It is said to be able to live for up to 10,000 years. Older Wartortle have darker tail fur, and may have scars and algae on their shells.
",19,100,0
Blastoise,Water,Wartortle (#0008),"It is the mascot of Pokémon Blue.[20] The two cannons on its shell shoot out pressurized jets of water strong enough to shatter thick steel walls, and accurate enough to hit empty cans from over 160 feet away. Blastoise itself can tackle at high speeds. A cruel Pokémon, it deliberately makes itself heavier to withstand its cannons' recoil and crush its opponents. It gained a Mega Evolution in generation VI and a Gigantamax form in generation VIII. A Blastoise trading card, which was originally made as a test print before the commercial English cards, was sold for $360,000 in 2021.[21]
",46,330,0
Caterpie,Bug,N/A,"Its feet have suction pads that allow it to climb slopes, walls, and trees. To protect itself, it releases a stench from its antennae. It camouflages itself in piles of leaves, or tries to scare predators with the eye patterns on its body. Across its life, it eats hundreds of leaves, some bigger than itself. When nearing evolution, it sheds its skin, covers itself with silk, and becomes a cocoon.
",21,60,0
